date,store_id,mall_location,weekday,week_of_year,promotion,scheduled_pt_hours,punch_pt_hours,sales
2024-01-28,Yorkdale,Yorkdale Shopping Centre,Sunday,4,0,110.00,110.25,27568.65
2024-01-29,Yorkdale,Yorkdale Shopping Centre,Monday,5,0,93.50,94.50,18060.09
2024-01-30,Yorkdale,Yorkdale Shopping Centre,Tuesday,5,0,94.00,94.50,18111.19
2024-01-31,Yorkdale,Yorkdale Shopping Centre,Wednesday,5,0,93.75,93.00,19294.47
2024-02-01,Yorkdale,Yorkdale Shopping Centre,Thursday,5,0,102.50,102.50,20654.55
2024-02-02,Yorkdale,Yorkdale Shopping Centre,Friday,5,1,118.75,121.00,27994.55
2024-02-03,Yorkdale,Yorkdale Shopping Centre,Saturday,5,1,120.00,120.25,34638.13
2024-02-04,Yorkdale,Yorkdale Shopping Centre,Sunday,5,0,105.00,105.50,21486.85
2024-02-05,Yorkdale,Yorkdale Shopping Centre,Monday,6,0,96.50,95.00,21379.38
2024-02-06,Yorkdale,Yorkdale Shopping Centre,Tuesday,6,0,87.00,88.00,17745.57
2024-02-07,Yorkdale,Yorkdale Shopping Centre,Wednesday,6,0,94.75,95.25,21971.39
2024-02-08,Yorkdale,Yorkdale Shopping Centre,Thursday,6,0,101.00,102.25,20816.22
2024-02-09,Yorkdale,Yorkdale Shopping Centre,Friday,6,0,102.00,104.75,22446.61
2024-02-10,Yorkdale,Yorkdale Shopping Centre,Saturday,6,0,107.00,107.75,30785.29
2024-02-11,Yorkdale,Yorkdale Shopping Centre,Sunday,6,0,107.75,105.00,25481.80
2024-02-12,Yorkdale,Yorkdale Shopping Centre,Monday,7,0,90.50,87.50,19940.02
2024-02-13,Yorkdale,Yorkdale Shopping Centre,Tuesday,7,0,93.50,94.00,18062.81
2024-02-14,Yorkdale,Yorkdale Shopping Centre,Wednesday,7,0,94.50,94.50,18491.51
2024-02-15,Yorkdale,Yorkdale Shopping Centre,Thursday,7,0,97.75,99.75,19307.30
2024-02-16,Yorkdale,Yorkdale Shopping Centre,Friday,7,1,120.00,119.50,30668.99
2024-02-17,Yorkdale,Yorkdale Shopping Centre,Saturday,7,1,120.00,118.50,34445.00
2024-02-18,Yorkdale,Yorkdale Shopping Centre,Sunday,7,0,104.25,105.00,22338.90
2024-02-19,Yorkdale,Yorkdale Shopping Centre,Monday,8,0,97.50,97.00,19355.47
2024-02-20,Yorkdale,Yorkdale Shopping Centre,Tuesday,8,0,93.75,90.75,20160.88
2024-02-21,Yorkdale,Yorkdale Shopping Centre,Wednesday,8,0,97.50,97.25,23142.10
2024-02-22,Yorkdale,Yorkdale Shopping Centre,Thursday,8,0,95.25,96.75,23210.34
2024-02-23,Yorkdale,Yorkdale Shopping Centre,Friday,8,0,95.00,94.75,18528.71
2024-02-24,Yorkdale,Yorkdale Shopping Centre,Saturday,8,0,117.00,117.75,25126.44
2024-02-25,Yorkdale,Yorkdale Shopping Centre,Sunday,8,1,120.00,119.75,35948.73
2024-02-26,Yorkdale,Yorkdale Shopping Centre,Monday,9,0,98.75,98.50,21079.17
2024-02-27,Yorkdale,Yorkdale Shopping Centre,Tuesday,9,0,93.75,92.75,20339.40
2024-02-28,Yorkdale,Yorkdale Shopping Centre,Wednesday,9,1,107.00,106.75,28609.58
2024-02-29,Yorkdale,Yorkdale Shopping Centre,Thursday,9,0,97.75,100.25,21474.35
2024-03-01,Yorkdale,Yorkdale Shopping Centre,Friday,9,0,99.75,99.25,19308.82
2024-03-02,Yorkdale,Yorkdale Shopping Centre,Saturday,9,1,120.00,120.75,29775.77
2024-03-03,Yorkdale,Yorkdale Shopping Centre,Sunday,9,0,109.50,111.50,25784.75
2024-03-04,Yorkdale,Yorkdale Shopping Centre,Monday,10,0,96.25,98.00,18924.59
2024-03-05,Yorkdale,Yorkdale Shopping Centre,Tuesday,10,0,93.75,94.00,22712.88
2024-03-06,Yorkdale,Yorkdale Shopping Centre,Wednesday,10,0,103.75,104.75,17943.96
2024-03-07,Yorkdale,Yorkdale Shopping Centre,Thursday,10,0,104.25,106.50,21811.77
2024-03-08,Yorkdale,Yorkdale Shopping Centre,Friday,10,0,109.50,108.25,23631.59
2024-03-09,Yorkdale,Yorkdale Shopping Centre,Saturday,10,0,111.00,111.50,26569.01
2024-03-10,Yorkdale,Yorkdale Shopping Centre,Sunday,10,0,105.50,104.50,25224.75
2024-03-11,Yorkdale,Yorkdale Shopping Centre,Monday,11,0,91.50,94.25,16907.20
2024-03-12,Yorkdale,Yorkdale Shopping Centre,Tuesday,11,0,94.00,95.00,21432.07
2024-03-13,Yorkdale,Yorkdale Shopping Centre,Wednesday,11,0,100.50,99.25,19566.24
2024-03-14,Yorkdale,Yorkdale Shopping Centre,Thursday,11,0,103.25,106.25,21161.43
2024-03-15,Yorkdale,Yorkdale Shopping Centre,Friday,11,0,95.25,94.75,20956.43
2024-03-16,Yorkdale,Yorkdale Shopping Centre,Saturday,11,1,120.00,119.00,33804.76
2024-03-17,Yorkdale,Yorkdale Shopping Centre,Sunday,11,0,109.50,108.25,24208.80
2024-03-18,Yorkdale,Yorkdale Shopping Centre,Monday,12,0,95.75,97.75,20296.66
2024-03-19,Yorkdale,Yorkdale Shopping Centre,Tuesday,12,0,92.50,92.50,18530.58
2024-03-20,Yorkdale,Yorkdale Shopping Centre,Wednesday,12,0,97.75,96.75,17895.68
2024-03-21,Yorkdale,Yorkdale Shopping Centre,Thursday,12,0,101.00,103.25,20807.61
2024-03-22,Yorkdale,Yorkdale Shopping Centre,Friday,12,0,103.75,103.00,23975.20
2024-03-23,Yorkdale,Yorkdale Shopping Centre,Saturday,12,0,103.00,103.25,25837.51
2024-03-24,Yorkdale,Yorkdale Shopping Centre,Sunday,12,1,120.00,120.25,31273.71
2024-03-25,Yorkdale,Yorkdale Shopping Centre,Monday,13,0,91.25,90.75,17621.94
2024-03-26,Yorkdale,Yorkdale Shopping Centre,Tuesday,13,0,94.00,94.00,18503.17
2024-03-27,Yorkdale,Yorkdale Shopping Centre,Wednesday,13,0,96.50,98.25,19221.59
2024-03-28,Yorkdale,Yorkdale Shopping Centre,Thursday,13,1,120.00,117.50,27850.64
2024-03-29,Yorkdale,Yorkdale Shopping Centre,Friday,13,0,100.75,103.50,24545.41
2024-03-30,Yorkdale,Yorkdale Shopping Centre,Saturday,13,0,104.25,105.25,24086.06
2024-03-31,Yorkdale,Yorkdale Shopping Centre,Sunday,13,0,100.75,100.75,24267.99
2024-04-01,Yorkdale,Yorkdale Shopping Centre,Monday,14,0,88.75,88.00,18428.70
2024-04-02,Yorkdale,Yorkdale Shopping Centre,Tuesday,14,1,114.25,113.50,26677.57
2024-04-03,Yorkdale,Yorkdale Shopping Centre,Wednesday,14,0,101.25,101.00,20483.59
2024-04-04,Yorkdale,Yorkdale Shopping Centre,Thursday,14,0,95.50,96.00,19513.77
2024-04-05,Yorkdale,Yorkdale Shopping Centre,Friday,14,0,98.00,99.50,19186.54
2024-04-06,Yorkdale,Yorkdale Shopping Centre,Saturday,14,0,109.25,109.25,25884.79
2024-04-07,Yorkdale,Yorkdale Shopping Centre,Sunday,14,0,108.75,107.00,21205.88
2024-04-08,Yorkdale,Yorkdale Shopping Centre,Monday,15,0,96.50,97.75,19773.34
2024-04-09,Yorkdale,Yorkdale Shopping Centre,Tuesday,15,0,95.25,94.50,18849.70
2024-04-10,Yorkdale,Yorkdale Shopping Centre,Wednesday,15,0,96.00,95.50,21621.49
2024-04-11,Yorkdale,Yorkdale Shopping Centre,Thursday,15,0,99.75,101.00,22254.86
2024-04-12,Yorkdale,Yorkdale Shopping Centre,Friday,15,0,107.00,105.50,21876.02
2024-04-13,Yorkdale,Yorkdale Shopping Centre,Saturday,15,0,111.00,112.75,25680.20
2024-04-14,Yorkdale,Yorkdale Shopping Centre,Sunday,15,0,110.50,110.75,21665.64
2024-04-15,Yorkdale,Yorkdale Shopping Centre,Monday,16,0,92.00,92.75,20021.15
2024-04-16,Yorkdale,Yorkdale Shopping Centre,Tuesday,16,0,90.25,90.50,19110.81
2024-04-17,Yorkdale,Yorkdale Shopping Centre,Wednesday,16,0,99.75,99.75,21110.83
2024-04-18,Yorkdale,Yorkdale Shopping Centre,Thursday,16,0,96.00,97.25,21432.50
2024-04-19,Yorkdale,Yorkdale Shopping Centre,Friday,16,0,99.75,99.75,23706.51
2024-04-20,Yorkdale,Yorkdale Shopping Centre,Saturday,16,0,107.50,108.00,23347.25
2024-04-21,Yorkdale,Yorkdale Shopping Centre,Sunday,16,0,114.00,114.25,27933.19
2024-04-22,Yorkdale,Yorkdale Shopping Centre,Monday,17,0,95.75,94.25,18800.01
2024-04-23,Yorkdale,Yorkdale Shopping Centre,Tuesday,17,0,99.75,98.00,22255.62
2024-04-24,Yorkdale,Yorkdale Shopping Centre,Wednesday,17,0,97.75,98.75,17866.44
2024-04-25,Yorkdale,Yorkdale Shopping Centre,Thursday,17,0,95.50,93.50,18904.05
2024-04-26,Yorkdale,Yorkdale Shopping Centre,Friday,17,0,95.25,97.75,24923.22
2024-04-27,Yorkdale,Yorkdale Shopping Centre,Saturday,17,0,110.25,110.25,23001.10
2024-04-28,Yorkdale,Yorkdale Shopping Centre,Sunday,17,0,108.00,108.25,24022.66
2024-04-29,Yorkdale,Yorkdale Shopping Centre,Monday,18,0,90.25,93.25,18756.33
2024-04-30,Yorkdale,Yorkdale Shopping Centre,Tuesday,18,1,105.50,105.75,24230.53
2024-05-01,Yorkdale,Yorkdale Shopping Centre,Wednesday,18,0,95.75,96.50,17650.50
2024-05-02,Yorkdale,Yorkdale Shopping Centre,Thursday,18,0,101.25,99.50,20089.21
2024-05-03,Yorkdale,Yorkdale Shopping Centre,Friday,18,0,97.50,97.25,21494.88
2024-05-04,Yorkdale,Yorkdale Shopping Centre,Saturday,18,0,111.00,112.25,27224.11
2024-05-05,Yorkdale,Yorkdale Shopping Centre,Sunday,18,0,108.00,105.75,24654.73
2024-05-06,Yorkdale,Yorkdale Shopping Centre,Monday,19,0,92.50,93.00,18043.56
2024-05-07,Yorkdale,Yorkdale Shopping Centre,Tuesday,19,0,94.50,93.50,19486.00
2024-05-08,Yorkdale,Yorkdale Shopping Centre,Wednesday,19,0,93.50,95.50,18613.52
2024-05-09,Yorkdale,Yorkdale Shopping Centre,Thursday,19,0,93.25,91.75,21792.88
2024-05-10,Yorkdale,Yorkdale Shopping Centre,Friday,19,0,104.00,101.50,26932.23
2024-05-11,Yorkdale,Yorkdale Shopping Centre,Saturday,19,0,112.00,112.75,28449.29
2024-05-12,Yorkdale,Yorkdale Shopping Centre,Sunday,19,0,119.25,121.00,23270.32
2024-05-13,Yorkdale,Yorkdale Shopping Centre,Monday,20,0,90.50,89.00,18842.20
2024-05-14,Yorkdale,Yorkdale Shopping Centre,Tuesday,20,0,86.25,85.75,22685.26
2024-05-15,Yorkdale,Yorkdale Shopping Centre,Wednesday,20,0,87.25,87.50,19442.50
2024-05-16,Yorkdale,Yorkdale Shopping Centre,Thursday,20,0,98.50,98.50,21251.23
2024-05-17,Yorkdale,Yorkdale Shopping Centre,Friday,20,0,99.25,99.50,22006.98
2024-05-18,Yorkdale,Yorkdale Shopping Centre,Saturday,20,0,111.00,113.25,22226.52
2024-05-19,Yorkdale,Yorkdale Shopping Centre,Sunday,20,0,97.50,96.00,21568.30
2024-05-20,Yorkdale,Yorkdale Shopping Centre,Monday,21,0,89.50,90.25,21456.63
2024-05-21,Yorkdale,Yorkdale Shopping Centre,Tuesday,21,0,89.50,89.50,19379.79
2024-05-22,Yorkdale,Yorkdale Shopping Centre,Wednesday,21,0,87.50,86.00,17994.61
2024-05-23,Yorkdale,Yorkdale Shopping Centre,Thursday,21,1,115.00,114.50,30208.35
2024-05-24,Yorkdale,Yorkdale Shopping Centre,Friday,21,0,99.25,96.25,24619.57
2024-05-25,Yorkdale,Yorkdale Shopping Centre,Saturday,21,0,106.00,108.25,24977.08
2024-05-26,Yorkdale,Yorkdale Shopping Centre,Sunday,21,0,98.00,98.75,22071.27
2024-05-27,Yorkdale,Yorkdale Shopping Centre,Monday,22,0,92.75,92.00,18669.87
2024-05-28,Yorkdale,Yorkdale Shopping Centre,Tuesday,22,0,91.50,91.25,19672.13
2024-05-29,Yorkdale,Yorkdale Shopping Centre,Wednesday,22,0,91.25,90.00,20466.46
2024-05-30,Yorkdale,Yorkdale Shopping Centre,Thursday,22,0,95.75,92.75,21703.27
2024-05-31,Yorkdale,Yorkdale Shopping Centre,Friday,22,0,99.75,100.25,21051.32
2024-06-01,Yorkdale,Yorkdale Shopping Centre,Saturday,22,0,103.75,104.25,23745.05
2024-06-02,Yorkdale,Yorkdale Shopping Centre,Sunday,22,0,107.75,110.50,22784.95
2024-06-03,Yorkdale,Yorkdale Shopping Centre,Monday,23,0,94.75,93.00,18785.56
2024-06-04,Yorkdale,Yorkdale Shopping Centre,Tuesday,23,0,93.50,92.75,23155.47
2024-06-05,Yorkdale,Yorkdale Shopping Centre,Wednesday,23,0,95.25,94.00,17457.41
2024-06-06,Yorkdale,Yorkdale Shopping Centre,Thursday,23,0,96.00,94.75,21358.88
2024-06-07,Yorkdale,Yorkdale Shopping Centre,Friday,23,0,100.25,101.00,18494.92
2024-06-08,Yorkdale,Yorkdale Shopping Centre,Saturday,23,0,114.25,111.75,21614.97
2024-06-09,Yorkdale,Yorkdale Shopping Centre,Sunday,23,0,110.50,112.25,23400.69
2024-06-10,Yorkdale,Yorkdale Shopping Centre,Monday,24,0,91.75,90.00,17123.66
2024-06-11,Yorkdale,Yorkdale Shopping Centre,Tuesday,24,0,95.75,95.00,18318.90
2024-06-12,Yorkdale,Yorkdale Shopping Centre,Wednesday,24,0,93.75,93.75,18922.10
2024-06-13,Yorkdale,Yorkdale Shopping Centre,Thursday,24,0,99.75,101.50,17522.08
2024-06-14,Yorkdale,Yorkdale Shopping Centre,Friday,24,0,101.50,99.25,23357.60
2024-06-15,Yorkdale,Yorkdale Shopping Centre,Saturday,24,0,110.50,108.25,23328.60
2024-06-16,Yorkdale,Yorkdale Shopping Centre,Sunday,24,0,102.75,99.75,23242.26
2024-06-17,Yorkdale,Yorkdale Shopping Centre,Monday,25,0,87.50,89.25,16889.63
2024-06-18,Yorkdale,Yorkdale Shopping Centre,Tuesday,25,0,95.50,95.00,17488.43
2024-06-19,Yorkdale,Yorkdale Shopping Centre,Wednesday,25,0,94.75,92.75,19174.27
2024-06-20,Yorkdale,Yorkdale Shopping Centre,Thursday,25,0,92.00,93.50,20497.79
2024-06-21,Yorkdale,Yorkdale Shopping Centre,Friday,25,0,102.25,102.50,19567.12
2024-06-22,Yorkdale,Yorkdale Shopping Centre,Saturday,25,0,112.25,113.50,25488.04
2024-06-23,Yorkdale,Yorkdale Shopping Centre,Sunday,25,0,102.00,104.50,24652.62
2024-06-24,Yorkdale,Yorkdale Shopping Centre,Monday,26,0,99.75,100.75,19849.38
2024-06-25,Yorkdale,Yorkdale Shopping Centre,Tuesday,26,0,93.25,94.50,18028.40
2024-06-26,Yorkdale,Yorkdale Shopping Centre,Wednesday,26,0,97.50,96.25,21338.66
2024-06-27,Yorkdale,Yorkdale Shopping Centre,Thursday,26,0,96.50,97.25,18796.25
2024-06-28,Yorkdale,Yorkdale Shopping Centre,Friday,26,0,100.00,98.25,20093.43
2024-06-29,Yorkdale,Yorkdale Shopping Centre,Saturday,26,0,120.00,119.50,23257.31
2024-06-30,Yorkdale,Yorkdale Shopping Centre,Sunday,26,0,98.00,99.75,22311.15
2024-07-01,Yorkdale,Yorkdale Shopping Centre,Monday,27,0,89.75,90.25,18522.45
2024-07-02,Yorkdale,Yorkdale Shopping Centre,Tuesday,27,0,88.75,88.00,16393.96
2024-07-03,Yorkdale,Yorkdale Shopping Centre,Wednesday,27,0,89.50,91.25,19799.14
2024-07-04,Yorkdale,Yorkdale Shopping Centre,Thursday,27,0,96.50,96.50,17844.13
2024-07-05,Yorkdale,Yorkdale Shopping Centre,Friday,27,0,96.75,98.00,22047.72
2024-07-06,Yorkdale,Yorkdale Shopping Centre,Saturday,27,0,105.25,105.75,20249.43
2024-07-07,Yorkdale,Yorkdale Shopping Centre,Sunday,27,0,104.25,104.00,19584.77
2024-07-08,Yorkdale,Yorkdale Shopping Centre,Monday,28,0,90.25,92.75,18831.70
2024-07-09,Yorkdale,Yorkdale Shopping Centre,Tuesday,28,0,90.75,91.00,22173.86
2024-07-10,Yorkdale,Yorkdale Shopping Centre,Wednesday,28,0,93.25,91.25,21152.82
2024-07-11,Yorkdale,Yorkdale Shopping Centre,Thursday,28,0,91.00,91.50,16919.25
2024-07-12,Yorkdale,Yorkdale Shopping Centre,Friday,28,0,99.50,96.75,24306.17
2024-07-13,Yorkdale,Yorkdale Shopping Centre,Saturday,28,0,109.25,110.25,27735.05
2024-07-14,Yorkdale,Yorkdale Shopping Centre,Sunday,28,0,110.50,110.00,27183.45
2024-07-15,Yorkdale,Yorkdale Shopping Centre,Monday,29,0,88.75,86.75,18293.54
2024-07-16,Yorkdale,Yorkdale Shopping Centre,Tuesday,29,0,90.00,90.00,19342.10
2024-07-17,Yorkdale,Yorkdale Shopping Centre,Wednesday,29,0,94.75,91.75,21033.18
2024-07-18,Yorkdale,Yorkdale Shopping Centre,Thursday,29,1,113.50,116.00,23993.14
2024-07-19,Yorkdale,Yorkdale Shopping Centre,Friday,29,0,93.50,94.75,19863.82
2024-07-20,Yorkdale,Yorkdale Shopping Centre,Saturday,29,0,107.25,108.25,23847.53
2024-07-21,Yorkdale,Yorkdale Shopping Centre,Sunday,29,0,97.75,100.00,21171.17
2024-07-22,Yorkdale,Yorkdale Shopping Centre,Monday,30,0,92.25,94.50,19691.68
2024-07-23,Yorkdale,Yorkdale Shopping Centre,Tuesday,30,0,97.25,97.00,19410.66
2024-07-24,Yorkdale,Yorkdale Shopping Centre,Wednesday,30,0,91.50,92.00,21945.30
2024-07-25,Yorkdale,Yorkdale Shopping Centre,Thursday,30,0,97.25,97.50,20369.91
2024-07-26,Yorkdale,Yorkdale Shopping Centre,Friday,30,0,100.00,100.25,21125.03
2024-07-27,Yorkdale,Yorkdale Shopping Centre,Saturday,30,0,103.25,100.75,20724.46
2024-07-28,Yorkdale,Yorkdale Shopping Centre,Sunday,30,0,103.75,104.25,24054.94
2024-07-29,Yorkdale,Yorkdale Shopping Centre,Monday,31,0,85.50,82.50,17922.32
2024-07-30,Yorkdale,Yorkdale Shopping Centre,Tuesday,31,1,105.25,104.75,21254.92
2024-07-31,Yorkdale,Yorkdale Shopping Centre,Wednesday,31,0,91.25,90.75,18533.95
2024-08-01,Yorkdale,Yorkdale Shopping Centre,Thursday,31,0,88.75,86.75,18424.50
2024-08-02,Yorkdale,Yorkdale Shopping Centre,Friday,31,0,97.25,99.00,18930.03
2024-08-03,Yorkdale,Yorkdale Shopping Centre,Saturday,31,0,98.00,97.75,20704.56
2024-08-04,Yorkdale,Yorkdale Shopping Centre,Sunday,31,0,103.50,102.00,22396.20
2024-08-05,Yorkdale,Yorkdale Shopping Centre,Monday,32,0,89.75,89.00,15434.48
2024-08-06,Yorkdale,Yorkdale Shopping Centre,Tuesday,32,0,91.25,91.75,20305.68
2024-08-07,Yorkdale,Yorkdale Shopping Centre,Wednesday,32,0,86.00,84.50,17497.82
2024-08-08,Yorkdale,Yorkdale Shopping Centre,Thursday,32,0,93.25,92.00,18516.89
2024-08-09,Yorkdale,Yorkdale Shopping Centre,Friday,32,0,86.25,85.25,17877.33
2024-08-10,Yorkdale,Yorkdale Shopping Centre,Saturday,32,0,108.25,108.50,24077.78
2024-08-11,Yorkdale,Yorkdale Shopping Centre,Sunday,32,0,103.75,101.50,19251.72
2024-08-12,Yorkdale,Yorkdale Shopping Centre,Monday,33,0,85.75,84.25,18198.96
2024-08-13,Yorkdale,Yorkdale Shopping Centre,Tuesday,33,1,99.50,99.25,26548.09
2024-08-14,Yorkdale,Yorkdale Shopping Centre,Wednesday,33,0,91.75,94.50,17432.16
2024-08-15,Yorkdale,Yorkdale Shopping Centre,Thursday,33,0,91.25,91.00,17219.57
2024-08-16,Yorkdale,Yorkdale Shopping Centre,Friday,33,0,97.75,97.00,20552.00
2024-08-17,Yorkdale,Yorkdale Shopping Centre,Saturday,33,0,96.25,96.75,22615.16
2024-08-18,Yorkdale,Yorkdale Shopping Centre,Sunday,33,0,94.25,94.00,19866.28
2024-08-19,Yorkdale,Yorkdale Shopping Centre,Monday,34,0,86.75,86.75,15048.09
2024-08-20,Yorkdale,Yorkdale Shopping Centre,Tuesday,34,0,91.75,89.75,16498.19
2024-08-21,Yorkdale,Yorkdale Shopping Centre,Wednesday,34,1,106.50,107.75,21420.57
2024-08-22,Yorkdale,Yorkdale Shopping Centre,Thursday,34,0,91.25,91.00,18455.59
2024-08-23,Yorkdale,Yorkdale Shopping Centre,Friday,34,0,96.25,95.75,19339.58
2024-08-24,Yorkdale,Yorkdale Shopping Centre,Saturday,34,0,98.75,99.00,22016.63
2024-08-25,Yorkdale,Yorkdale Shopping Centre,Sunday,34,1,109.75,108.25,30722.27
2024-08-26,Yorkdale,Yorkdale Shopping Centre,Monday,35,0,86.00,87.25,15538.83
2024-08-27,Yorkdale,Yorkdale Shopping Centre,Tuesday,35,0,82.50,83.00,14116.60
2024-08-28,Yorkdale,Yorkdale Shopping Centre,Wednesday,35,0,91.75,90.25,17001.43
2024-08-29,Yorkdale,Yorkdale Shopping Centre,Thursday,35,0,91.00,91.75,17354.70
2024-08-30,Yorkdale,Yorkdale Shopping Centre,Friday,35,0,91.75,90.50,16271.48
2024-08-31,Yorkdale,Yorkdale Shopping Centre,Saturday,35,0,96.75,97.25,22353.48
2024-09-01,Yorkdale,Yorkdale Shopping Centre,Sunday,35,0,91.00,92.00,21091.73
2024-09-02,Yorkdale,Yorkdale Shopping Centre,Monday,36,0,79.75,76.75,14744.13
2024-09-03,Yorkdale,Yorkdale Shopping Centre,Tuesday,36,0,82.50,83.75,14184.80
2024-09-04,Yorkdale,Yorkdale Shopping Centre,Wednesday,36,0,88.00,87.75,18312.64
2024-09-05,Yorkdale,Yorkdale Shopping Centre,Thursday,36,1,102.25,101.75,21395.12
2024-09-06,Yorkdale,Yorkdale Shopping Centre,Friday,36,0,94.75,96.00,20964.39
2024-09-07,Yorkdale,Yorkdale Shopping Centre,Saturday,36,0,99.50,100.25,18228.73
2024-09-08,Yorkdale,Yorkdale Shopping Centre,Sunday,36,0,90.50,89.75,20992.47
2024-09-09,Yorkdale,Yorkdale Shopping Centre,Monday,37,0,84.50,85.50,15745.88
2024-09-10,Yorkdale,Yorkdale Shopping Centre,Tuesday,37,0,85.00,85.00,15471.00
2024-09-11,Yorkdale,Yorkdale Shopping Centre,Wednesday,37,0,85.75,85.00,15608.24
2024-09-12,Yorkdale,Yorkdale Shopping Centre,Thursday,37,0,90.75,91.25,15414.62
2024-09-13,Yorkdale,Yorkdale Shopping Centre,Friday,37,1,110.25,109.75,28472.20
2024-09-14,Yorkdale,Yorkdale Shopping Centre,Saturday,37,0,93.75,92.75,24433.86
2024-09-15,Yorkdale,Yorkdale Shopping Centre,Sunday,37,1,120.00,119.50,22777.00
2024-09-16,Yorkdale,Yorkdale Shopping Centre,Monday,38,0,82.50,80.75,16298.68
2024-09-17,Yorkdale,Yorkdale Shopping Centre,Tuesday,38,0,80.00,79.75,13245.05
2024-09-18,Yorkdale,Yorkdale Shopping Centre,Wednesday,38,0,83.25,82.25,15131.96
2024-09-19,Yorkdale,Yorkdale Shopping Centre,Thursday,38,0,94.50,93.50,17825.62
2024-09-20,Yorkdale,Yorkdale Shopping Centre,Friday,38,0,93.50,95.25,21718.70
2024-09-21,Yorkdale,Yorkdale Shopping Centre,Saturday,38,0,96.50,95.25,21929.47
2024-09-22,Yorkdale,Yorkdale Shopping Centre,Sunday,38,1,112.50,113.75,24134.63
2024-09-23,Yorkdale,Yorkdale Shopping Centre,Monday,39,0,86.00,84.25,16144.85
2024-09-24,Yorkdale,Yorkdale Shopping Centre,Tuesday,39,0,85.00,85.00,14108.58
2024-09-25,Yorkdale,Yorkdale Shopping Centre,Wednesday,39,0,90.75,88.00,15479.00
2024-09-26,Yorkdale,Yorkdale Shopping Centre,Thursday,39,0,83.50,82.50,19818.63
2024-09-27,Yorkdale,Yorkdale Shopping Centre,Friday,39,0,88.50,89.50,13801.41
2024-09-28,Yorkdale,Yorkdale Shopping Centre,Saturday,39,1,120.00,121.25,26812.24
2024-09-29,Yorkdale,Yorkdale Shopping Centre,Sunday,39,1,103.25,102.75,29260.90
2024-09-30,Yorkdale,Yorkdale Shopping Centre,Monday,40,0,82.25,79.25,15347.01
2024-10-01,Yorkdale,Yorkdale Shopping Centre,Tuesday,40,0,85.00,85.50,14475.47
2024-10-02,Yorkdale,Yorkdale Shopping Centre,Wednesday,40,0,95.75,95.50,17145.87
2024-10-03,Yorkdale,Yorkdale Shopping Centre,Thursday,40,0,82.50,82.75,16567.50
2024-10-04,Yorkdale,Yorkdale Shopping Centre,Friday,40,0,85.50,87.00,19235.40
